id,time,event,prttime,age,gpa,dblmaj
1,4.43E-05,TRUE,0,17,3.5,0
2,1.77E-05,TRUE,0,19,3.7,0
3,6.75E-05,TRUE,0,21,3.4,0
4,2.07E-05,TRUE,0,28,2.6,0
5,0.000178108,TRUE,1,18,2.1,0
6,0.000283778,TRUE,1,20,3.7,0
7,5.16E-05,TRUE,0,17,3.2,0
8,0.000194824,TRUE,0,18,3.2,0
9,0.000445444,TRUE,0,17,3.1,1
10,0.000528446,TRUE,1,20,2.7,0
11,0.000111989,TRUE,0,18,3.6,0
12,1.66E-05,TRUE,0,20,2.8,0
13,0.000117856,TRUE,0,21,3.2,0
14,0.000186999,TRUE,0,19,3,0
15,8.21E-06,TRUE,0,21,3.1,1
16,0.000133226,TRUE,0,17,3,0
17,0.000174456,TRUE,0,20,3.6,0
18,2.06E-05,TRUE,0,21,3.5,0
19,3.39E-05,TRUE,0,20,2.6,0
20,0.000215835,TRUE,1,18,2.8,0
21,9.16E-05,TRUE,0,17,3,0
22,0.00012419,TRUE,0,18,3.6,0
23,0.000123684,TRUE,1,18,3.4,0
24,0.000331474,TRUE,1,17,3.1,0
25,3.41E-05,TRUE,0,17,3.5,0
26,0.001030064,TRUE,1,17,3,0
27,1.00E-05,TRUE,0,24,3.6,0
28,8.12E-06,TRUE,0,17,3.3,1
29,4.57E-05,TRUE,0,17,3.1,0
30,6.20E-05,TRUE,0,18,2.7,0
31,0.0001563,TRUE,0,18,3.7,0
32,0.000579002,TRUE,1,17,3.4,1
33,1.58E-05,TRUE,0,18,3.4,1
34,5.26E-05,TRUE,0,17,2.8,0
35,2.34E-05,TRUE,0,21,3.2,1
36,6.84E-06,TRUE,0,20,3.3,0
37,9.69E-07,TRUE,0,18,3.5,0
38,1.37E-05,TRUE,0,17,3,0
39,4.06E-05,TRUE,0,18,3.2,0
40,1.00E-05,TRUE,0,18,2.8,0
41,2.78E-05,TRUE,0,23,3.1,0
42,1.02E-05,TRUE,0,21,3.5,0
43,9.64E-05,TRUE,0,19,3.3,0
44,0.000107634,TRUE,0,17,3.4,0
45,9.28E-08,TRUE,1,19,2.7,0
46,0.000177732,TRUE,0,17,3.1,0
47,3.21E-05,TRUE,0,19,3.6,0
48,6.30E-05,TRUE,0,17,3,0
49,5.95E-05,TRUE,0,17,3.5,0
50,0.000227619,TRUE,1,17,3.2,0
51,2.65E-05,TRUE,0,19,2.6,0
52,6.23E-06,TRUE,0,18,3.7,0
53,3.85E-05,TRUE,0,17,3.4,0
54,4.30E-05,TRUE,0,18,3.3,0
55,5.46E-05,TRUE,0,19,3.3,0
56,0.00015668,TRUE,0,18,2.7,0
57,0.000167464,TRUE,0,18,3,1
58,5.35E-05,TRUE,0,18,3.4,0
59,0.000125509,TRUE,0,19,3.2,0
60,0.000133173,TRUE,0,19,3.3,0
61,0.000473435,TRUE,1,18,3.1,0
62,7.28E-05,TRUE,0,17,3.3,1
63,3.17E-05,TRUE,0,19,3.1,0
64,2.92E-05,TRUE,0,19,3.7,0
65,0.000110288,TRUE,0,18,3.6,0
66,6.39E-05,TRUE,0,18,3.3,1
67,1.00E-05,TRUE,1,20,2.9,0
68,0.000162518,TRUE,0,17,2.8,0
69,0.00013401,TRUE,1,17,3.6,0
70,0.000691501,TRUE,1,17,3.2,0
71,1.94E-05,TRUE,0,19,3.1,0
72,0.000241191,TRUE,0,18,3.1,1
73,0.000158461,TRUE,0,17,3,0
74,2.33E-05,FALSE,0,19,3.3,0
75,0.000123041,TRUE,0,17,2.9,0
76,5.69E-05,TRUE,0,23,3.5,0
77,1.52E-05,TRUE,0,18,2.3,0
78,6.96E-05,TRUE,1,18,2.1,1
79,4.98E-05,TRUE,0,18,3.4,0
80,0.000272622,TRUE,0,17,3.2,0
81,7.79E-05,TRUE,0,18,3.6,1
82,1.06E-05,TRUE,0,18,2.1,0
83,0.000132783,TRUE,0,18,3.5,1
84,4.60E-05,TRUE,0,19,3.5,0
85,2.45E-05,TRUE,0,18,3.7,0
86,4.73E-05,TRUE,0,17,2.7,0
87,2.86E-05,TRUE,0,17,3.6,0
88,5.47E-05,TRUE,0,19,3.1,0
89,3.91E-06,TRUE,0,18,2.4,0
90,2.52E-05,TRUE,1,18,3.5,0
91,0.000157375,TRUE,0,18,3.4,0
92,0.00014973,TRUE,0,18,2.4,0
93,1.89E-05,TRUE,0,18,3,1
94,3.73E-05,TRUE,0,17,3,0
95,6.11E-06,TRUE,0,18,3.3,0
96,0.000157534,TRUE,1,18,2.4,0
97,0.000104775,TRUE,0,19,3,0
98,0.00030608,TRUE,0,18,3.4,1
99,1.22E-05,TRUE,0,17,2.9,0
100,3.16E-05,FALSE,0,17,2.5,0
101,0.000131496,TRUE,0,19,3.7,0
102,1.07E-05,TRUE,0,21,2.9,0
103,3.82E-06,TRUE,0,17,3.4,1
104,2.47E-05,TRUE,0,18,3.4,0
105,2.30E-05,TRUE,0,17,3.3,0
106,0.000740931,TRUE,1,17,3.2,0
107,0.000643196,TRUE,1,18,2.9,0
108,7.02E-05,TRUE,0,18,3.2,0
109,6.03E-05,FALSE,1,18,3.5,0
110,0.000134349,TRUE,0,18,2.9,0
111,0.000357834,TRUE,1,17,3.2,0
112,4.05E-05,TRUE,0,24,3.2,0
113,9.80E-05,TRUE,1,18,3.2,0
114,0.000140531,TRUE,0,18,3.7,0
